title	name	meaning	menu_1	menu_2	menu_3	menu_4	menu_5	description						
		GAZ:00005867	Pitcairn Islands [GAZ:00005867]					An archipelagic nation located in Southeast Asia. The Philippine archipelago comprises 7,107 islands in the western Pacific Ocean, bordering countries such as Indonesia, Malaysia, Palau and the Republic of China, although it is the only Southeast Asian country to share no land borders with its neighbors. The Philippines is divided into three island groups: Luzon, Visayas, and Mindanao. These are divided into 17 regions, 81 provinces, 136 cities, 1,494 municipalities and 41,995 barangays.						
		GAZ:00002939	Poland [GAZ:00002939]					A group of four islands in the southern Pacific Ocean. The Pitcairn Islands form the southeasternmost extension of the geological archipelago of the Tuamotus of French Polynesia.						
		GAZ:00004126	Portugal [GAZ:00004126]					A country in Central Europe. Poland is bordered by Germany to the west; the Czech Republic and Slovakia to the south; Ukraine, Belarus and Lithuania to the east; and the Baltic Sea and Kaliningrad Oblast, a Russian exclave, to the north. The administrative division of Poland since 1999 has been based on three levels of subdivision. The territory of Poland is divided into voivodeships (provinces); these are further divided into powiats (counties), and these in turn are divided into gminas (communes or municipalities). Major cities normally have the status of both gmina and powiat. Poland currently has 16 voivodeships, 379 powiats (including 65 cities with powiat status), and 2,478 gminas.						
		GAZ:00006935	Puerto Rico [GAZ:00006935]					That part of the Portugese Republic that occupies the W part of the Iberian Peninsula, and immediately adjacent islands.						
		GAZ:00005286	Qatar [GAZ:00005286]					A semi-autonomous territory composed of an archipelago in the northeastern Caribbean, east of the Dominican Republic and west of the Virgin Islands, approximately 2,000 km off the coast of Florida (the nearest of the mainland United States).						
		GAZ:00001088	Republic of the Congo [GAZ:00001088]					An Arab emirate in Southwest Asia, occupying the small Qatar Peninsula on the northeasterly coast of the larger Arabian Peninsula. It is bordered by Saudi Arabia to the south; otherwise the Persian Gulf surrounds the state. Qatar is divided into ten municipalities (Arabic: baladiyah), which are further divided into zones (districts).						
		GAZ:00003945	Reunion [GAZ:00003945]					A country in Central Africa. It is bordered by Gabon, Cameroon, the Central African Republic, the Democratic Republic of the Congo, the Angolan exclave province of Cabinda, and the Gulf of Guinea. The Republic of the Congo is divided into 10 regions (regions) and one commune, the capital Brazzaville. The regions are subdivided into forty-six districts.						
		GAZ:00002951	Romania [GAZ:00002951]					An island, located in the Indian Ocean east of Madagascar, about 200 km south west of Mauritius, the nearest island.						
		GAZ:00023304	Ross Sea [GAZ:00023304]					A country in Southeastern Europe. It shares a border with Hungary and Serbia to the west, Ukraine and the Republic of Moldova to the northeast, and Bulgaria to the south. Romania has a stretch of sea coast along the Black Sea. It is located roughly in the lower basin of the Danube and almost all of the Danube Delta is located within its territory. Romania is divided into forty-one counties (judete), as well as the municipality of Bucharest (Bucuresti) - which is its own administrative unit. The country is further subdivided into 319 cities and 2686 communes (rural localities).						
		GAZ:00002721	Russia [GAZ:00002721]					A large embayment of the Southern Ocean, extending deeply into Antarctica between Cape Adare, at 170degE, on the west and Cape Colbeck on the east, at 158degW.						
		GAZ:00001087	Rwanda [GAZ:00001087]					A transcontinental country extending over much of northern Eurasia. Russia shares land borders with the following countries (counter-clockwise from northwest to southeast): Norway, Finland, Estonia, Latvia, Lithuania (Kaliningrad Oblast), Poland (Kaliningrad Oblast), Belarus, Ukraine, Georgia, Azerbaijan, Kazakhstan, China, Mongolia and North Korea. The Russian Federation comprises 83 federal subjectsm 46 oblasts(provinces), 21 republics, 9 krais (territories), 4 autonomous okrugs (autonomous districts), one autonomous oblast, and two federal cities. The federal subjects are grouped into seven federal districts. These subjects are divided into districts (raions), cities/towns and urban-type settlements, and, at level 4, selsovets (rural councils), towns and urban-type settlements under the jurisdiction of the district and city districts.						
		GAZ:00000849	Saint Helena [GAZ:00000849]					A small landlocked country in the Great Lakes region of east-central Africa, bordered by Uganda, Burundi, the Democratic Republic of the Congo and Tanzania. Rwanda is divided into five provinces (intara) and subdivided into thirty districts (akarere). The districts are divided into sectors (imirenge).						
		GAZ:00006906	Saint Kitts and Nevis [GAZ:00006906]					An island of volcanic origin and a British overseas territory in the South Atlantic Ocean.						
		GAZ:00006909	Saint Lucia [GAZ:00006909]					A federal two-island nation in the West Indies. Located in the Leeward Islands. Saint Kitts and Nevis are geographically part of the Leeward Islands. To the north-northwest lie the islands of Saint Eustatius, Saba, Saint Barthelemy, and Saint-Martin/Sint Maarten. To the east and northeast are Antigua and Barbuda, and to the southeast is the small uninhabited island of Redonda, and the island of Montserrat. The federation of Saint Kitts and Nevis is divided into fourteen parishes: nine divisions on Saint Kitts and five on Nevis.						
		GAZ:00003942	Saint Pierre and Miquelon [GAZ:00003942]					An island nation in the eastern Caribbean Sea on the boundary with the Atlantic Ocean.						
		GAZ:00005841	Saint Martin [GAZ:00005841]					An Overseas Collectivity of France located in a group of small islands in the North Atlantic Ocean, the main ones being Saint Pierre and Miquelon, 25 km off the coast of Newfoundland, Canada. Saint Pierre and Miquelon became an overseas department in 1976, but its status changed to that of an Overseas collectivity in 1985.						
		GAZ:02000565	Saint Vincent and the Grenadines [GAZ:02000565]					An overseas collectivity of France that came into being on 2007-02-22, encompassing the northern parts of the island of Saint Martin and neighboring islets. The southern part of the island, Sint Maarten, is part of the Netherlands Antilles. Formerly, with Saint-Barthelemy, an arrondissement of Guadeloupe.						
		GAZ:00006910	Samoa [GAZ:00006910]					An island nation in the Lesser Antilles chain of the Caribbean Sea.						
		GAZ:00003102	San Marino [GAZ:00003102]					A country governing the western part of the Samoan Islands archipelago in the South Pacific Ocean. Samoa is made up of eleven itumalo (political districts).						
		GAZ:00006927	Sao Tome and Principe [GAZ:00006927]					A country in the Apennine Mountains. It is a landlocked enclave, completely surrounded by Italy. San Marino is an enclave in Italy, on the border between the regioni of Emilia Romagna and Marche. Its topography is dominated by the Apennines mountain range. San Marino is divided into nine municipalities, known locally as Castelli (singular castello).						
